Id,Refinement,ElapsedTime,Timestamp,TimestampRealizabilityCheck,Length,Parent,NumChildren,IsYSat,IsRealizable,IsSatisfiable,IsWellSeparated,IsSolution,TimeYSatCheck,TimeRealizabilityCheck,TimeSatisfiabilityCheck,TimeWellSeparationCheck,TimeCounterstrategy,CounterstrategyNumStates,TimeRefine,TimeGenerationMethod,TimeInterpolation,InterpolantComputed,InterpolantIsFalse,NonStateSeparable,NoInterpolant,NumStateComponents,NumNonIoSeparable,Interpolant
f79e1af4-cf52-4d5d-8e72-a31962f55ab2,[],0.15902301099999994,0,0,0,N/A,2,True,False,N/A,N/A,False,0.007385135999999903,0.20868375300000008,N/A,N/A,0.02617941299999993,5,7.47900000002133e-05,0.12320135600000004,0.11529989000000018,True,N/A,N/A,N/A,1,0,(min_above_auditing_threshold__Sf3 & min_hits_higher_threshold__Sf3)
3ec6047f-332c-4b5c-b634-7b47a2dd6f7c,['!(min_hits_higher_threshold & min_above_auditing_threshold)'],0.3344813590000002,0.15882698499999992,0.1825772939999999,1,f79e1af4-cf52-4d5d-8e72-a31962f55ab2,1,True,False,N/A,N/A,False,0.019478443000000123,0.0035745349999998233,N/A,N/A,0.01740530699999998,9,7.399999999968543e-05,0.12916372600000003,0.12384242499999987,True,N/A,N/A,N/A,1,0,(min_above_auditing_threshold__Sf6 & min_hits_higher_threshold__Sf6)
efe0e1bf-4bb4-4f95-86f7-3b0a0aa34975,['G(!(min_hits_higher_threshold & min_above_auditing_threshold))'],0.49453804199999984,0.15884561499999994,0.3510910260000002,1,f79e1af4-cf52-4d5d-8e72-a31962f55ab2,2,True,False,N/A,N/A,False,0.012469789000000286,0.0036613000000000895,N/A,N/A,0.01879275100000033,5,8.41359999999014e-05,0.11936120000000017,0.11372553600000002,True,N/A,N/A,N/A,1,0,(all_samples_above_deferral__Sf3 & min_hits_higher_threshold__Sf3)
961ee148-fe5e-45ce-b01a-00e1956480fc,"['!(min_hits_higher_threshold & min_above_auditing_threshold)', 'G(!(min_above_auditing_threshold & min_hits_higher_threshold))']",0.6495673969999998,0.3342983930000001,0.5084118850000001,2,3ec6047f-332c-4b5c-b634-7b47a2dd6f7c,2,True,False,N/A,N/A,False,0.010910394999999795,0.002494272999999936,N/A,N/A,0.011203715999999808,5,9.116799999997482e-05,0.1256203789999999,0.1188993629999997,True,N/A,N/A,N/A,1,0,(all_samples_above_deferral__Sf1 & min_hits_higher_threshold__Sf1)
143aade8-e381-47b3-9c85-5ff21925b750,"['G(!(all_samples_above_deferral & min_hits_higher_threshold))', 'G(!(min_hits_higher_threshold & min_above_auditing_threshold))']",0.800774605,0.4943484389999999,0.6610494870000001,2,efe0e1bf-4bb4-4f95-86f7-3b0a0aa34975,2,True,False,N/A,N/A,False,0.008566138999999584,0.002396153999999928,N/A,N/A,0.010600527000000248,5,8.554999999965673e-05,0.12475143300000013,0.11765396099999981,True,N/A,N/A,N/A,1,0,(all_samples_above_deferral__Sf3 & min_above_auditing_threshold__Sf3)
131a9625-98ef-4bbd-83f0-a3a6845bd718,"['!(all_samples_above_deferral & min_hits_higher_threshold)', 'G(!(min_hits_higher_threshold & min_above_auditing_threshold))']",0.9599669099999999,0.4943699530000001,0.813485858,2,efe0e1bf-4bb4-4f95-86f7-3b0a0aa34975,1,True,False,N/A,N/A,False,0.008874216000000157,0.003219166000000051,N/A,N/A,0.012563321000000016,9,7.173200000032409e-05,0.1294033800000003,0.12377990599999977,True,N/A,N/A,N/A,1,0,(all_samples_above_deferral__Sf6 & min_hits_higher_threshold__Sf6)
9d1082ec-c5ab-414d-b6f3-1b85db516dca,"['!(min_hits_higher_threshold & min_above_auditing_threshold)', 'G(!(min_above_auditing_threshold & min_hits_higher_threshold))', 'G(!(min_hits_higher_threshold & all_samples_above_deferral))']",1.118295083,0.6493134970000001,0.9707367570000001,3,961ee148-fe5e-45ce-b01a-00e1956480fc,2,True,False,N/A,N/A,False,0.008012997000000244,0.0022624690000001557,N/A,N/A,0.008514308000000081,5,0.00012157799999990004,0.135184776,0.12759621799999987,True,N/A,N/A,N/A,1,0,(all_samples_above_deferral__Sf1 & min_above_auditing_threshold__Sf1)
09104e42-f15c-430e-907c-d900c74b066a,"['!(min_hits_higher_threshold & all_samples_above_deferral)', '!(min_hits_higher_threshold & min_above_auditing_threshold)', 'G(!(min_above_auditing_threshold & min_hits_higher_threshold))']",1.3142148059999998,0.6493395180000001,1.131369029,3,961ee148-fe5e-45ce-b01a-00e1956480fc,1,True,False,N/A,N/A,False,0.009445175999999833,0.0029391709999999627,N/A,N/A,0.013307192000000079,9,7.851199999997505e-05,0.16424414100000018,0.15644705099999978,True,N/A,N/A,N/A,1,0,(all_samples_above_deferral__Sf8 & min_hits_higher_threshold__Sf8)
1db99516-9dc0-404e-8ae3-ecf7534c3168,"['!(all_samples_above_deferral & min_above_auditing_threshold)', 'G(!(all_samples_above_deferral & min_hits_higher_threshold))', 'G(!(min_hits_higher_threshold & min_above_auditing_threshold))']",1.500657898,0.8005775540000002,1.3260648179999999,3,143aade8-e381-47b3-9c85-5ff21925b750,1,True,False,N/A,N/A,False,0.008405014000000044,0.002825674999999972,N/A,N/A,0.01250683900000027,9,0.00010049399999978448,0.15743944500000007,0.1501394859999996,True,N/A,N/A,N/A,1,0,(all_samples_above_deferral__Sf8 & min_above_auditing_threshold__Sf8)
d8035745-f30e-4ae7-af7a-566b150944d4,"['G(!(all_samples_above_deferral & min_above_auditing_threshold))', 'G(!(all_samples_above_deferral & min_hits_higher_threshold))', 'G(!(min_hits_higher_threshold & min_above_auditing_threshold))']",1.674790142,0.8006028449999998,1.512587618,3,143aade8-e381-47b3-9c85-5ff21925b750,2,True,False,N/A,N/A,False,0.008527307999999678,0.0027795300000001966,N/A,N/A,0.010599430999999715,5,9.385600000033634e-05,0.14648491200000002,0.1387964140000002,True,N/A,N/A,N/A,1,0,(any_sample_below_deferral__Sf0 & min_hits_higher_threshold__Sf0)
1f62d184-958c-4308-b76e-528779e1e68c,"['!(all_samples_above_deferral & min_hits_higher_threshold)', 'G(!(min_hits_higher_threshold & all_samples_above_deferral))', 'G(!(min_hits_higher_threshold & min_above_auditing_threshold))']",1.8580059480000002,0.9597811109999999,1.6856718609999999,3,131a9625-98ef-4bbd-83f0-a3a6845bd718,2,True,False,N/A,N/A,False,0.007621781000000105,0.002729308999999791,N/A,N/A,0.008669098000000375,5,0.00010407099999998337,0.159357231,0.15029721200000035,True,N/A,N/A,N/A,1,0,(all_samples_above_deferral__Sf3 & min_above_auditing_threshold__Sf3)
30c6335c-2683-49f0-8efe-0a774643a2d7,"['!(min_hits_higher_threshold & min_above_auditing_threshold)', 'G(!(min_above_auditing_threshold & all_samples_above_deferral))', 'G(!(min_above_auditing_threshold & min_hits_higher_threshold))', 'G(!(min_hits_higher_threshold & all_samples_above_deferral))']",2.03626228,1.1180379980000001,1.8802811039999998,4,9d1082ec-c5ab-414d-b6f3-1b85db516dca,2,True,False,N/A,N/A,False,0.018993576999999817,0.0026677120000000443,N/A,N/A,0.009241940999999976,5,9.74650000000743e-05,0.14237310899999978,0.1347638769999997,True,N/A,N/A,N/A,1,0,(any_sample_below_deferral__Sf0 & min_hits_higher_threshold__Sf0)
062e51fc-1779-4b78-b6e6-ae82bd03bb47,"['!(min_above_auditing_threshold & all_samples_above_deferral)', '!(min_hits_higher_threshold & min_above_auditing_threshold)', 'G(!(min_above_auditing_threshold & min_hits_higher_threshold))', 'G(!(min_hits_higher_threshold & all_samples_above_deferral))']",2.219862217,1.118070758,2.046419567,4,9d1082ec-c5ab-414d-b6f3-1b85db516dca,1,True,False,N/A,N/A,False,0.007397620999999965,0.0022106509999999524,N/A,N/A,0.010504762999999695,9,7.808500000017204e-05,0.15909287999999977,0.1523004969999997,True,N/A,N/A,N/A,1,0,(all_samples_above_deferral__Sf7 & min_above_auditing_threshold__Sf7)
a1860e27-bb60-4e57-8b92-5448f95de18f,"['!(min_hits_higher_threshold & all_samples_above_deferral)', '!(min_hits_higher_threshold & min_above_auditing_threshold)', 'G(!(all_samples_above_deferral & min_hits_higher_threshold))', 'G(!(min_above_auditing_threshold & min_hits_higher_threshold))']",2.3885627379999996,1.314008141,2.228965552,4,09104e42-f15c-430e-907c-d900c74b066a,2,True,False,N/A,N/A,False,0.0065176349999997996,0.002070396000000141,N/A,N/A,0.008032077999999832,5,9.330800000029171e-05,0.1477884839999999,0.1394681630000001,True,N/A,N/A,N/A,1,0,(all_samples_above_deferral__Sf3 & min_above_auditing_threshold__Sf3)
2b3bb498-a148-47f6-8df3-9d7a2df61f4c,"['!(all_samples_above_deferral & min_above_auditing_threshold)', 'G(!(all_samples_above_deferral & min_hits_higher_threshold))', 'G(!(min_above_auditing_threshold & all_samples_above_deferral))', 'G(!(min_hits_higher_threshold & min_above_auditing_threshold))']",2.55767723,1.5004269030000001,2.39858093,4,1db99516-9dc0-404e-8ae3-ecf7534c3168,2,True,False,N/A,N/A,False,0.007223611999999768,0.0021603630000006646,N/A,N/A,0.00797694999999976,5,0.00010049499999986722,0.14677747200000013,0.13921594400000004,True,N/A,N/A,N/A,1,0,(any_sample_below_deferral__Sf3 & min_hits_higher_threshold__Sf3)
0f0051f7-e5db-4a90-9c4c-1b53f062ca55,"['G(!(all_samples_above_deferral & min_above_auditing_threshold))', 'G(!(all_samples_above_deferral & min_hits_higher_threshold))', 'G(!(min_hits_higher_threshold & any_sample_below_deferral))', 'G(!(min_hits_higher_threshold & min_above_auditing_threshold))']",2.73032343,1.674572274,2.5675445370000003,4,d8035745-f30e-4ae7-af7a-566b150944d4,2,True,False,N/A,N/A,False,0.006897947999999765,0.002178711,N/A,N/A,0.00902393700000026,5,0.00011204200000047848,0.1493667289999996,0.14061194599999993,True,N/A,N/A,N/A,1,0,(initial_score_above_deferral__Sf3 & min_hits_higher_threshold__Sf3)
